Word,POS,Pronunciation (IPA),Frequency
Churches,NNS,CH ER CH AH Z,14
376,CD,,4
9220,CD,,1
Spiritist,NN,,1
Codification,NN,K AA D AH F AH K EY SH AH N,1
educator,NN,EH JH AH K EY T ER,15
Hypolite,NNP,HH AY P AH L AY T,1
Lon,NN,L AA N,7
Denizard,NN,,1
Rivail,NN,,1
pseudonym,NN,S UW D AH N IH M,11
Allan,NN,AE L AH N,31
Kardec,NNP,,1
reporting,NN,R IY P AO R T IH NG,43
sances,NNS,,1
phenomena,NN,F AH N AA M AH N AH,20
attributed,VBN,AH T R IH B Y AH T AH D,61
incorporeal,NN,,2
intelligence,NN,IH N T EH L AH JH AH N S,59
assumption,NN,AH S AH M P SH AH N,9
communication,NN,K AH M Y UW N AH K EY SH AH N,65
validated,VBN,V AE L AH D EY T AH D,4
contemporaries,NNS,K AH N T EH M P ER EH R IY Z,12
Leon,NN,L IY AA N,34
Denis,NN,D EH N IH S,29
Arthur,NNP,AA R TH ER,126
Conan,NN,K OW N AH N,16
Camille,NNP,K AH M IY L,6
Flammarion,NN,,1
Ernesto,NN,ER N EH S T OW,5
Bozzano,NN,,1
Chico,NN,CH IY K OW,17
Xavier,NN,Z EY V Y ER,21
Divaldo,NN,,1
Pereira,NN,P ER EH R AH,17
Franco,NN,F R AE NG K OW,14
Waldo,NN,W AA L D OW,11
Vieira,NN,V IY EH R AH,4
Johannes,NNS,JH OW HH AE N AH S,24
Greber,NNP,G R IY B ER,1
Canada,NNP,K AE N AH D AH,386
France,NNP,F R AE N S,599
Argentina,NNP,AA R JH AH N T IY N AH,79
Portugal,NN,P AO R CH AH G AH L,64
especially,RB,AH S P EH SH L IY,214
Brazil,NNP,B R AH Z IH L,104
proportion,NN,P R AH P AO R SH AH N,29
greatest,JJS,G R EY T AH S T,99
physician,NN,F AH Z IH SH AH N,46
Ferriar,NN,,1
essay,NN,EH S EY,35
towards,NNS,T AH W AO R D Z,182
apparitions,NNS,AE P ER IH SH AH N Z,2
1813,CD,,16
argued,VBD,AA R G Y UW D,66
result,NN,R IH Z AH L T,286
optical,JJ,AA P T IH K AH L,7
illusions,NNS,IH L UW ZH AH N Z,10
Alexandre,NN,AE L IH K S AA N D ER,13
Jacques,NNS,ZH AA K,34
Franois,NN,,25
Brire,NN,,1
Boismont,NNP,,1
published,VBN,P AH B L IH SH T,550
Hallucinations,NNS,HH AH L UW S AH N EY SH AH N Z,5
Rational,JJ,R AE SH AH N AH L,1
Apparitions,NNS,AE P ER IH SH AH N Z,3
Dreams,NNS,D R IY M Z,35
Ecstasy,NN,EH K S T AH S IY,3
Magnetism,NN,M AE G N AH T IH Z AH M,2
Somnambulism,NN,,1
1845,CD,,32
hallucinations,NNS,HH AH L UW S AH N EY SH AH N Z,19
Turner,NN,T ER N ER,42
retired,VBN,R IH T AY R D,171
physical,JJ,F IH Z IH K AH L,119
chemist,NN,K EH M IH S T,23
suggested,VBN,S AH G JH EH S T AH D,110
ball,NN,B AO L,53
lightning,VBG,L AY T N IH NG,8
inanimate,NN,IH N AE N AH M AH T,1
erratically,RB,EH R AE T IH K L IY,1
credible,JJ,K R EH D AH B AH L,8
anomalistic,JJ,,1
psychology,NN,S AY K AA L AH JH IY,34
arise,NN,ER AY Z,14
hypnagogic,NN,,2
waking,VBG,W EY K IH NG,2
dreams,NNS,D R IY M Z,11
experienced,JJ,IH K S P IH R IY AH N S T,61
transitional,JJ,T R AE N S IH SH AH N AH L,17
sleep,NN,S L IY P,20
experiments,NNS,IH K S P EH R AH M AH N T S,52
Wiseman,NN,W AY Z M AH N,2
conclusion,NN,K AH N K L UW ZH AH N,37
consistently,RB,K AH N S IH S T AH N T L IY,23
unusual,JJ,AH N Y UW ZH AH W AH L,52
experiences,NNS,IH K S P IH R IY AH N S IH Z,48
environmental,JJ,IH N V AY R AH N M EH N T AH L,67
factors,NNS,F AE K T ER Z,68
differ,NN,D IH F ER,24
across,IN,AH K R AO S,318
variance,NN,V EH R IY AH N S,3
magnetic,JJ,M AE G N EH T IH K,22
size,NN,S AY Z,235
lighting,VBG,L AY T IH NG,29
stimuli,NNS,S T IH M Y AH L AY,6
witnesses,NNS,W IH T N AH S AH Z,22
consciously,RB,K AA N SH AH S L IY,5
Persinger,NN,P ER S IH N JH ER,1
Laurentian,JJ,L AO R EH N SH AH N,3
speculated,VBN,S P EH K Y AH L EY T AH D,17
changes,NNS,CH EY N JH AH Z,177
geomagnetic,JJ,JH IY OW M AE G N EH T IH K,1
eg,NN,,123
tectonic,NN,T EH K T AA N IH K,13
stresses,NNS,S T R EH S AH Z,6
crust,NN,K R AH S T,11
solar,NN,S OW L ER,39
stimulate,NN,S T IH M Y AH L EY T,8
brain,NN,B R EY N,81
temporal,JJ,T EH M P ER AH L,9
lobes,NNS,L OW B Z,5
Sound,NN,S AW N D,93
Richard,NNP,R IH CH ER D,343
Lord,NN,L AO R D,279
room,NN,R UW M,151
anxiety,NN,AE NG Z AY AH T IY,7
extreme,NN,IH K S T R IY M,47
sorrow,NN,S AA R OW,4
feeling,VBG,F IY L IH NG,32
watched,VBN,W AA CH T,28
chills,NNS,CH IH L Z,1
Carbon,NN,K AA R B AH N,11
monoxide,NN,M AH N AA K S AY D,2
poisoning,VBG,P OY Z AH N IH NG,13
perception,NN,P ER S EH P SH AH N,13
visual,JJ,V IH ZH AH W AH L,57
auditory,NN,AO D IH T AO R IY,2
systems,NNS,S IH S T AH M Z,205
explanation,NN,EH K S P L AH N EY SH AH N,24
1921,CD,,104
JudoChristian,JJ,,1
Hebrew,NN,HH IY B R UW,60
Torah,NN,T AO R AH,21
associating,VBG,AH S OW S IY EY T IH NG,3
forbidden,NN,F AO R B IH D AH N,18
Samuel,NN,S AE M Y UW L,103
disguised,VBN,D IH S G AY Z D,10
Saul,NN,S AO L,8
Witch,NN,W IH CH,3
Endor,NN,,1
summon,NN,S AH M AH N,6
spiritghost,NN,,1
Similarly,RB,S IH M AH L ER L IY,29
actually,RB,AE K CH AH W AH L IY,134
disguise,NN,D IH S G AY Z,8
Timothy,NN,T IH M AH TH IY,22
41,CD,,78
deceive,NN,D IH S IY V,2
draw,NN,D R AO,72
bondage,NN,B AA N D IH JH,4
attempts,NNS,AH T EH M P T S,87
unwanted,JJ,AH N W AO N T IH D,7
demon,NN,D IY M AH N,6
unclean,JJ,AH N K L IY N,2
Robbie,NN,R AA B IY,15
Mannheim,NN,M AE N HH AY M,5
fourteenyearold,NN,,1
Maryland,NN,M EH R AH L AH N D,120
SeventhDay,NN,,1
Adventist,NN,AE D V EH N T IH S T,2
equivalent,NN,IH K W IH V AH L AH N T,68
save,VB,S EY V,55
Spirit,NN,S P IH R AH T,29
spiritsghosts,NNS,,1
Furthermore,RB,F ER DH ER M AO R,49
teach,NN,T IY CH,32
accordance,NN,AH K AO R D AH N S,25
Genesis,NN,JH EH N AH S AH S,16
Ecclesiastes,NNS,,1
127,CD,,21
components,NNS,K AH M P OW N AH N T S,37
neither,DT,N IY DH ER,47
survives,NNS,S ER V AY V Z,19
Christadelphians,NNS,,1
reject,NN,R IH JH EH K T,15
conscious,JJ,K AA N SH AH S,10
Talmud,NN,T AE L M AH D,19
tells,NNS,T EH L Z,110
lives,NNS,L IH V Z,159
dies,NNS,D AY Z,339
lacks,NNS,L AE K S,24
matter,NN,M AE T ER,94
mass,NN,M AE S,143
thus,RB,DH AH S,212
rendering,VBG,R EH N D ER IH NG,17
Islam,NN,IH S L AA M,122
Islamic,NNP,IH Z L AA M IH K,93
thing,NN,TH IH NG,75
Muslims,NNS,M AH Z L AH M Z,53
jinns,NN,,2
Koran,NNP,K AO R AA N,3
discusses,NNS,D IH S K AH S AH Z,29
Buddhism,NN,B UW D IH Z AH M,20
planes,NNS,P L EY N Z,24
reborn,NN,R IY B AO R N,3
hungry,NN,HH AH NG G R IY,9
folklore,NN,F OW K L AO R,21
Humr,NN,,7
Sudan,NN,S UW D AE N,21
consume,NN,K AH N S UW M,7
Umm,NN,AH M,2
Nyolokh,NN,,2
liver,NN,L IH V ER,31
marrow,NN,M EH R OW,1
giraffes,NN,JH ER AE F S,5
DMT,NN,,1
psychoactive,NN,,6
substances,NNS,S AH B S T AH N S AH Z,17
eat,NN,IY T,36
Acacia,NN,AH K EY SH AH,5
Belief,NN,B IH L IY F,3
characterized,VBN,K EH R AH K T ER AY Z D,37
Scandinavian,JJ,S K AE N D IH N EY V IY AH N,15
gjenganger,NN,,1
Romanian,JJ,R OW M EY N IY AH N,34
strigoi,NN,,1
Serbian,JJ,S ER B IY AH N,48
vrykolakas,NN,,1
etc,NN,EH T S EH T ER AH,102
Finnish,JJ,F IH N IH SH,53
corporeal,NN,,2
nature,NN,N EY CH ER,131
behavior,NN,B IH HH EY V Y ER,58
mistaken,NN,M IH S T EY K AH N,10
mute,NN,M Y UW T,4
disappear,NN,D IH S AH P IH R,7
suddenly,RB,S AH D AH N L IY,30
footprints,NNS,F UH T P R IH N T S,3
traces,NNS,T R EY S AH Z,13
particularly,RB,P AA R T IH K Y AH L ER L IY,192
remained,VBD,R IH M EY N D,276
emergence,NN,IH M ER JH AH N S,9
atheism,NN,AH TH AY S AH M,2
resurrected,VBN,R EH Z ER EH K T IH D,8
systematic,JJ,S IH S T AH M AE T IH K,21
inquiry,NN,IH N K W AY R IY,17
opinion,NN,AH P IH N Y AH N,56
Southeast,NN,S AW TH IY S T,34
Asia,NN,EY ZH AH,121
378,CD,,9
9598,CD,,2
bhoot,NN,,2
bhut,NN,,1
Indian,JJ,IH N D IY AH N,271
subcontinent,NN,S AH B K AA N T IH N AH N T,5
Interpretations,NNS,IH N T ER P R IH T EY SH AH N Z,2
factor,NN,F AE K T ER,41
prevents,NNS,P R IH V EH N T S,15
transmigration,NN,,1
nonbeing,VBG,,1
nirvana,NNS,N IH R V AA N AH,2
heaven,NN,HH EH V AH N,19
hell,NN,HH EH L,7
unsettled,JJ,AH N S EH T AH L D,3
matters,NNS,M AE T ER Z,44
simply,RB,S IH M P L IY,106
failure,NN,F EY L Y ER,92
survivors,NNS,S ER V AY V ER Z,35
funerals,NNS,F Y UW N ER AH L Z,9
Northern,NNP,N AO R DH ER N,235
Aojha,NN,,1
guides,NNS,G AY D Z,20
central,JJ,S EH N T R AH L,231
role,NN,R OW L,344
duly,NN,D UW L IY,5
happens,NNS,HH AE P AH N Z,23
someone,NN,S AH M W AH N,90
sleeps,NNS,S L IY P S,2
decorates,NNS,,3
say,VB,S EY,120
sees,NNS,S IY Z,38
morning,NN,M AO R N IH NG,63
skondho,NN,,1
kata,NNS,,1
means,NNS,M IY N Z,272
lord,NN,L AO R D,25
reside,NN,R IH Z AY D,15
calls,NNS,K AO L Z,76
never,RB,N EH V ER,323
turn,NN,T ER N,160
catch,NN,K AE CH,34
types,NNS,T AY P S,109
Hindu,NN,HH IH N D UW,26
Mythology,NN,M AH TH AA L AH JH IY,3
Baital,NN,,1
possession,NN,P AH Z EH SH AH N,44
corpses,NNS,K AO R P S AH Z,5
Pishacha,NN,,1
type,NN,T AY P,239
flesheating,VBG,,1
Austronesia,NN,,1
9978,CD,,1
Malay,NN,M EY L EY,29
myths,NNS,M IH TH S,15
remnants,NNS,R EH M N AH N T S,20
animist,NN,AE N AH M AH S T,1
shaped,VBD,SH EY P T,35
Buddhist,NN,B UW D AH S T,53
Muslim,NN,M AH Z L AH M,105
influences,NNS,IH N F L UW AH N S IH Z,50
Indonesia,NN,IH N D OW N IY ZH AH,96
Malaysia,NN,M AH L EY ZH AH,49
Brunei,NN,B R UW N AY,19
concepts,NNS,K AA N S EH P T S,42
vampires,NNS,V AE M P AY R Z,2
Pontianak,NN,,1
Penanggalan,NN,,1
shared,VBN,SH EH R D,73
Malaysian,JJ,M AH L EY ZH AH N,8
Indonesian,JJ,IH N D OW N IY ZH AH N,74
films,NNS,F IH L M Z,203
Filipino,NN,F IH L AH P IY N OW,27
ranging,VBG,R EY N JH IH NG,36
legendary,JJ,L EH JH AH N D EH R IY,33
Manananggal,NNP,,1
Tiyanak,NN,,1
legends,NNS,L EH JH AH N D Z,28
diverse,NN,D AY V ER S,49
Philippines,NNS,F IH L AH P IY N Z,82
Polynesian,JJ,P AA L IH N IY ZH AH N,12
normally,RB,N AO R M AH L IY,46
sky,NN,S K AY,21
stay,NN,S T EY,87
actively,RB,AE K T IH V L IY,26
sickness,NN,S IH K N AH S,7
driven,NN,D R IH V AH N,46
medicines,NNS,M EH D AH S AH N Z,9
Phi,NN,F AY,23
Hua,NN,HH UW AH,21
Kat,NNP,K AE T,5
Pop,NN,P AA P,35
Phong,NN,,2
Phraya,NN,,4
Mae,NNP,M EY,29
Nak,NN,,1
Thai,NN,T AY,28
classics,NNS,K L AE S IH K S,11
feared,VBN,F IH R D,27
Thailand,NN,T AY L AE N D,68
Tai,NN,T AY,16
Hong,NNP,HH AO NG,185
paralysis,NN,P ER AE L AH S AH S,3
Tibet,NN,T AH B EH T,12
10358,CD,,1
Tibetan,NN,T IH B EH T AH N,18
explicitly,RB,IH K S P L IH S AH T L IY,21
occupying,VBG,AA K Y AH P AY IH NG,18
distinct,NN,D IH S T IH NG K T,51
overlapping,VBG,OW V ER L AE P IH NG,9
uncertainty,NN,AH N S ER T AH N T IY,12
enter,NN,EH N T ER,112
yidag,NN,,1
yidvags,NNS,,1
Sanskrit,NN,S AE N S K R IH T,10
preta,NN,,1
tiny,JJ,T AY N IY,19
throat,NN,TH R OW T,9
huge,JJ,HH Y UW JH,77
stomach,NN,S T AH M AH K,8
satisfied,JJ,S AE T AH S F AY D,16
trap,NN,T R AE P,20
burnt,NN,B ER N T,13
releasing,VBG,R IY L IY S IH NG,27
exorcised,VBN,,1
festival,NN,F EH S T AH V AH L,79
Dorje,NN,,2
Shugden,NN,,1
17thcentury,CD,,5
monk,NN,M AH NG K,22
deity,NN,D IY AH T IY,17
Dalai,NN,D AE L EY,2
Lama,NN,L AA M AH,8
asserts,NNS,AH S ER T S,19
evil,NN,IY V AH L,44
split,NN,S P L IH T,100
exile,NN,EH G Z AY L,45
10738,CD,,1
extensive,JJ,IH K S T EH N S IH V,89
varied,NNS,V EH R IY D,24
Mexican,JJ,M EH K S AH K AH N,110
Spanish,JJ,S P AE N IH SH,296
conquest,NN,K AA NG K W EH S T,25
peoples,NNS,P IY P AH L Z,28
Maya,NN,M AY AH,18
Aztec,NN,AE Z T EH K,3
colonists,NNS,K AA L AH N IH S T S,9
incorporates,NNS,IH N K AO R P ER EY T S,16
preColumbian,JJ,,1
elements,NNS,EH L AH M AH N T S,140
interacting,VBG,IH N T ER AE K T IH NG,7
Gallup,NN,G AE L AH P,4
Poll,NN,P OW L,7
News,NNS,N UW Z,154
witches,NNS,W IH CH AH Z,3
steep,NN,S T IY P,30
32,CD,,132
percent,NN,P ER S EH N T,121
Americans,NNS,AH M EH R AH K AH N Z,58
Depiction,NN,D IH P IH K SH AH N,1
ubiquitous,JJ,Y UW B IH K W IH T AH S,2
1500,CD,,40
1840,CD,,36
recognizable,JJ,R EH K AH G N AY Z AH B AH L,10
Hamlet,NN,HH AE M L AH T,12
Shakespeares,NNS,,3
Tragical,JJ,,1
Prince,NN,P R IH N S,233
investigate,NN,IH N V EH S T AH G EY T,39
foul,NN,F AW L,9
usurping,VBG,Y UW S ER P IH NG,1
Claudius,NN,K L AO D IY AH S,8
Macbeth,NNS,M AH K B EH TH,2
Banquo,NN,,1
returns,NNS,R IH T ER N Z,70
dismay,NN,D IH S M EY,8
character,NN,K EH R IH K T ER,340
theater,NN,TH IY AH T ER,89
garb,NN,G AA R B,3
armor,NN,AA R M ER,16
Hamlets,NNS,HH AE M L AH T S,6
Armor,NN,AA R M ER,3
outofdate,NN,,1
sheeted,VBN,,1
armored,JJ,AA R M ER D,17
satisfactorily,RB,S AE T IH S F AE K T R AH L IY,3
convey,NN,K AH N V EY,9
requisite,NN,R EH K W AH Z AH T,2
spookiness,NN,,1
clanked,NNS,,1
creaked,NNS,K R IY K T,1
complicated,VBN,K AA M P L AH K EY T AH D,32
pulley,NN,P UH L IY,7
elevators,NNS,EH L AH V EY T ER Z,4
clanking,VBG,K L AE NG K IH NG,1
hoisted,VBN,HH OY S T AH D,2
ridicule,NN,R IH D AH K Y UW L,3
clichd,NN,,1
Ann,NN,AE N,50
Jones,NNP,JH OW N Z,157
Peter,NNP,P IY T ER,324
Stallybrass,NN,,2
Clothing,NN,K L OW DH IH NG,2
Materials,NNS,M AH T IH R IY AH L Z,12
point,NN,P OY N T,365
laughter,NN,L AE F T ER,6
increasingly,RB,IH N K R IY S IH NG L IY,51
threatens,NNS,TH R EH T AH N Z,12
starts,NNS,S T AA R T S,94
staged,VBD,S T EY JH D,25
drapery,NN,D R EY P ER IY,1
interesting,VBG,IH N T R AH S T IH NG,28
observation,NN,AA B Z ER V EY SH AH N,32
figured,VBN,F IH G Y ER D,16
prominently,RB,P R AA M AH N AH N T L IY,13
ballads,NNS,B AE L AH D Z,12
16th,CD,,66
centuries,NNS,S EH N CH ER IY Z,84
Border,NN,B AO R D ER,20
Ballads,NNS,B AE L AH D Z,3
turbulent,NN,T ER B Y AH L AH N T,5
border,NN,B AO R D ER,294
Scotland,NN,S K AA T L AH N D,106
Wife,NN,W AY F,16
Usher,NN,AH SH ER,5
lovers,NNS,L AH V ER Z,16
kings,NNS,K IH NG Z,47
horse,NN,HH AO R S,81
hounds,NNS,HH AW N D Z,1
forcing,VBG,F AO R S IH NG,40
king,NN,K IH NG,166
bed,NN,B EH D,38
awakens,NNS,AH W EY K AH N Z,3
transformed,VBN,T R AE N S F AO R M D,25
beautiful,NN,B Y UW T AH F AH L,78
woman,NN,W UH M AH N,186
appearances,NNS,AH P IH R AH N S AH Z,133
gothic,JJ,G AA TH IH K,6
Otranto,IN,,1
Horace,NN,HH AO R AH S,10
Walpole,NN,W AO L P OW L,11
1764,CD,,6
Washington,NNP,W AA SH IH NG T AH N,286
Irving,VBG,ER V IH NG,15
Legend,VB,L EH JH AH N D,44
Sleepy,NN,S L IY P IY,4
Hollow,NN,HH AA L OW,79
1820,CD,,19
folktale,NN,F OW K T EY L,1
features,NNS,F IY CH ER Z,340
Headless,NN,HH EH D L AH S,2
Horseman,NN,HH AO R S M AH N,2
adapted,VBN,AH D AE P T AH D,59
film,NN,F IH L M,1001
times,NNS,T AY M Z,385
successful,JJ,S AH K S EH S F AH L,256
VictorianEdwardian,JJ,,1
1920,CD,,109
arose,NN,ER OW Z,21
Sheridan,NN,SH EH R IH D AH N,11
Le,NN,L AH,152
Fanu,NN,,1
Violet,NN,V AY AH L IH T,4
Hunt,NNP,HH AH N T,30
Henry,NN,HH EH N R IY,366
Classic,JJ,K L AE S IH K,57
summed,VBN,S AH M D,5
essential,JJ,IH S EH N SH AH L,34
Malevolence,NN,,1
terror,NN,T EH R ER,12
glare,NN,G L EH R,5
faces,VBZ,F EY S AH Z,27
stony,NN,S T OW N IY,1
longdrawn,NN,,1
distant,NN,D IH S T AH N T,21
screams,NNS,S K R IY M Z,3
modicum,NN,M AA D IH K AH M,1
shed,VBN,SH EH D,114
deliberation,NN,D IH L IH B ER EY SH AH N,5
carefully,RB,K EH R F AH L IY,11
husbanded,VBD,,1
Famous,JJ,F EY M AH S,23
Carol,NN,K AE R AH L,32
Ebenezer,NN,EH B IH N IY Z ER,4
Scrooge,NN,S K R UW JH,4
helped,VBD,HH EH L P T,146
error,NN,EH R ER,45
ways,NNS,W EY Z,81
colleague,NN,K AA L IY G,19
Jacob,NN,JH EY K AH B,42
Marley,NNP,M AA R L IY,8
Past,NN,P AE S T,38
Present,JJ,P R EH Z AH N T,24
Yet,RB,Y EH T,31
Come,VB,K AH M,35
Oscar,NN,AO S K ER,34
Wilde,NN,W AY L D,23
Canterville,NNP,,1
occasions,NNS,AH K EY ZH AH N Z,62
Turn,NN,T ER N,54
Screw,NN,S K R UW,3
adaptations,NNS,AE D AE P T EY SH AH N Z,15
notably,RB,N OW T AH B L IY,72
Innocents,NNS,IH N AH S AH N T S,2
Benjamin,NNP,B EH N JH AH M AH N,57
Britten,NNS,B R IH T AH N,11
opera,NN,AA P R AH,114
Telgmann,NN,,1
Leo,NN,L IY OW,40
Cadet,NN,K AH D EH T,7
1885,CD,,40
Judge,NNP,JH AH JH,74
Military,JJ,M IH L AH T EH R IY,128
College,NN,K AA L IH JH,630
Kingston,NNP,K IH NG S T AH N,26
Ontario,NN,AA N T EH R IY OW,126
Things,NNS,TH IH NG Z,23
1904,CD,,56
collection,NN,K AH L EH K SH AH N,201
Japanese,JJ,JH AE P AH N IY Z,213
collected,VBN,K AH L EH K T AH D,70
Lafcadio,NN,,1
Hearn,NN,HH ER N,2
prior,RB,P R AY ER,138
folklorists,NNS,,3
Olive,JJ,AA L AH V,10
Dame,NN,D EY M,34
Campbell,NN,K AE M B AH L,92
Cecil,NN,S IY S AH L,30
Sharp,NN,SH AA R P,12
Appalachian,JJ,AE P AH L EY CH AH N,4
Mountains,NNS,M AW N T AH N Z,55
themes,NNS,TH IY M Z,67
Suffolk,NN,S AH F AH K,20
Miracle,NN,M IH R AH K AH L,15
Cruel,NN,K R UW AH L,3
Ship,NN,SH IH P,76
Carpenter,NNP,K AA R P AH N T ER,16
lover,NN,L AH V ER,24
variants,NNS,V EH R IY AH N T S,34
handed,VBN,HH AE N D AH D,47
generations,NNS,JH EH N ER EY SH AH N Z,34
mountaineers,NNS,M AW N T IH N IH R Z,1
descended,VBN,D IH S EH N D AH D,17
AngloScottish,JJ,,1
Era,NN,EH R AH,14
1970,CD,,189
Professional,JJ,P R AH F EH SH AH N AH L,92
parapsychologists,NNS,,1
hunters,NNS,HH AH N T ER Z,10
Harry,NNP,HH EH R IY,94
Price,NN,P R AY S,24
1920s,CD,,46
1930s,CD,,76
Underwood,NN,AH N D ER W UH D,4
1940s,NNS,,39
1950s,NNS,,103
ostensibly,RB,AA S T EH N S AH B L IY,8
true,JJ,T R UW,143
Borley,NNP,,2
recounting,VBG,R IH K AW N T IH NG,3
Rectory,NN,R EH K T ER IY,3
Frank,NNP,F R AE NG K,139
Edwards,NNS,EH D W ER D Z,30
delved,VBN,D EH L V D,2
Stranger,NN,S T R EY N JH ER,8
Childrens,NNS,CH IH L D R AH N Z,5
benevolent,NN,B AH N EH V AH L AH N T,1
Casper,NN,K AE S P ER,2
Friendly,RB,F R EH N D L IY,4
comics,NNS,K AA M IH K S,20
cartoons,NNS,K AA R T UW N Z,9
1995,CD,,392
Nol,NN,,15
Coward,NN,K AW ER D,1
Blithe,NN,B L AY DH,1
humorous,JJ,HH Y UW M ER AH S,6
slant,NN,S L AE N T,1
advent,NN,AE D V EH N T,13
motion,NN,M OW SH AH N,68
pictures,NNS,P IH K CH ER Z,38
screen,NN,S K R IY N,67
depictions,NNS,D IH P IH K SH AH N Z,15
spanned,VBN,S P AE N D,13
variety,NN,V ER AY AH T IY,136
genres,NNS,ZH AA N R AH Z,23
Shakespeare,NN,SH EY K S P IY R,30
Dickens,NNS,D IH K AH N Z,5
cinematic,JJ,S IH N AH M AE T IH K,6
Novellength,NN,,1
tales,NNS,T EY L Z,23
difficult,JJ,D IH F AH K AH L T,102
adapt,NN,AH D AE P T,4
cinema,NN,S IH N AH M AH,30
Haunting,VBG,HH AO N T IH NG,4
Hill,NN,HH IH L,206
1963,CD,,165
Sentimental,JJ,S EH N T AH M EH N T AH L,2
196870,CD,,3
Genuine,VB,JH EH N Y AH W AH N,3
psychological,JJ,S AY K AH L AA JH IH K AH L,18
1944,CD,,154
Uninvited,VBN,AH N IH N V AY T IH D,1
1945,CD,,180
Postmodern,NN,P OW S T M AA D ER N,1
1970present,CD,,1
1970s,NNS,,127
diverge,NN,D IH V ER JH,2
romantic,JJ,R OW M AE N T IH K,27
genre,NN,ZH AA N R AH,40
benign,NN,B IH N AY N,7
guide,NN,G AY D,35
messenger,NN,M EH S AH N JH ER,5
unfinished,JJ,AH N F IH N IH SH T,8
Field,NN,F IY L D,178
Heart,NN,HH AA R T,70
Fog,NN,F AA G,3
Nightmare,NN,N AY T M EH R,14
Elm,NN,EH L M,4
examples,NNS,IH G Z AE M P AH L Z,76
trend,NN,T R EH N D,18
merging,VBG,M ER JH IH NG,9
scenes,NNS,S IY N Z,53
violence,NN,V AY AH L AH N S,114
Popularised,VBN,,1
Ghostbusters,NNS,G OW S T B AH S T ER Z,5
societies,NNS,S AH S AY AH T IY Z,25
explore,NN,IH K S P L AO R,34
reportedly,RB,R IH P AO R T AH D L IY,47
hunting,VBG,HH AH N T IH NG,41
reality,NN,R IY AE L AH T IY,77
Adventures,NNS,AE D V EH N CH ER Z,37
Hunters,NNS,HH AH N T ER Z,5
Lab,NN,L AE B,18
programs,NNS,P R OW G R AE M Z,160
Hunter,NN,HH AH N T ER,56
Trackers,NNS,T R AE K ER Z,1
guidebooks,NNS,G AY D B UH K S,2
howto,NN,,2
manuals,NNS,M AE N Y UW AH L Z,5
dangers,NNS,D EY N JH ER Z,8
Examples,NNS,IH G Z AE M P AH L Z,41
Sixth,NNP,S IH K S TH,17
Sense,NN,S EH N S,4
Others,NNS,AH DH ER Z,26
Asian,JJ,EY ZH AH N,118
Ringu,NN,,1
remade,NN,R IY M EY D,11
Ring,VBG,R IH NG,52
Pang,NN,P AE NG,3
movies,NNS,M UW V IY Z,63
Africa,NNP,AE F R AH K AH,228
Chandramukhi,NN,,1
successes,NNS,S AH K S EH S AH Z,14
dubbed,NN,D AH B D,27
echoed,NN,EH K OW D,6
spin,NN,S P IH N,16
Jung,NN,Y UH NG,8
Nick,NN,N IH K,69
Harkaway,NN,,2
carry,NN,K AE R IY,71
heads,NNS,HH EH D Z,49
impressions,NNS,IH M P R EH SH AH N Z,2
acquaintances,NNS,AH K W EY N T AH N S IH Z,5
represent,NN,R EH P R AH Z EH N T,68
Object,NN,AA B JH EH K T,2
relations,NNS,R IY L EY SH AH N Z,117
personalities,NNS,P ER S AH N AE L IH T IY Z,28
splitting,NN,S P L IH T IH NG,14
incompatible,JJ,IH N K AH M P AE T AH B AH L,6
whereupon,NN,W EH R AH P AA N,12
selves,NNS,S EH L V Z,2
17514,CD,,2
commonname,NN,,1
Latvia,NN,L AE T V IY AH,178
imagemap2,NN,,1
Location,NN,L OW K EY SH AH N,76
Map,NN,M AE P,8
LVA,NN,,2
UNOCHAsvg,NN,,1
latd56,NN,,1
latm57,NN,,1
latNSN,NN,,3
longd24,NN,,1
longm6,NN,,1
longEWE,NN,,1
establishedevent1,NN,,1
Declared,VBN,D IH K L EH R D,1
b,NN,B IY,236
establisheddate8,NN,,1
Baltic,JJ,B AO L T IH K,59
bordered,VBN,B AO R D ER D,26
Estonia,NN,EH S T OW N IY AH,40
Russia,NN,R AH SH AH,169
Belarus,NN,B EH L AA R AH S,17
maritime,NN,M EH R AH T AY M,20
west,NN,W EH S T,314
1997500,CD,,1
territory,NN,T EH R IH T AO R IY,106
64589km2,CD,,1
sqmi,NN,,52
temperate,NN,T EH M P R AH T,8
parliamentary,JJ,P AA R L AH M EH N T ER IY,30
republic,NN,R IY P AH B L AH K,14
1918,CD,,128
Riga,NN,R IY G AH,39
Capital,NN,K AE P AH T AH L,51
Culture,NN,K AH L CH ER,69
2014,CD,,346
Latvian,JJ,L AE T V IY AH N,95
unitary,JJ,Y UW N IH T EH R IY,7
118,CD,,18
divisions,NNS,D IH V IH ZH AH N Z,61
109,CD,,19
municipalities,NNS,M Y UW N IH S AH P AE L IH T IY Z,53
Kurzeme,NN,,2
Latgale,NN,,5
Vidzeme,NN,,8
Zemgale,NN,,5
Latvians,NNS,L AE T V IY AH N Z,21
culturally,RB,K AH L CH ER AH L IY,8
Lithuanians,NNS,L IH TH AH W EY N IY AH N Z,2
Livs,NN,,2
Lithuanian,JJ,L IH TH AH W EY N IY AH N,36
